team_id,year,goalkeeper_avg_age,goalkeeper_market_value,defender_avg_age,defender_market_value,attack_avg_age,attack_market_value,total_avg_age,total_market_value
3585,2010,28.2,900000.0,26.2,3400000.0,25.5,13300000.0,25.9,21400000.0
3585,2012,26.6,650000.0,24.6,2750000.0,25.0,10400000.0,25.1,16000000.0
3585,2013,25.2,400000.0,23.6,3000000.0,24.0,7950000.0,23.9,12100000.0
3585,2015,27.4,550000.0,25.7,3550000.0,23.6,7550000.0,25.2,14380000.0
3585,2017,26.3,200000.0,26.3,5300000.0,21.9,3150000.0,25.3,9430000.0
3585,2019,29.7,500000.0,26.8,8250000.0,27.6,7980000.0,27.3,19350000.0
3585,2022,29.1,450000.0,26.0,4700000.0,24.6,21030000.0,25.5,29500000.0
3585,2024,28.8,725000.0,26.9,26800000.0,25.5,30680000.0,26.4,65500000.0
3591,2010,27.0,3000000.0,26.7,48930000.0,25.5,90350000.0,26.2,205980000.0
3591,2012,27.7,2450000.0,27.9,35750000.0,26.1,97250000.0,27.1,189950000.0
3591,2013,28.8,2200000.0,27.5,30350000.0,26.3,90980000.0,26.7,195580000.0
3591,2015,29.0,2150000.0,26.3,23450000.0,24.8,85000000.0,25.4,157850000.0
3591,2017,27.0,1100000.0,24.5,57700000.0,26.3,90200000.0,25.2,181900000.0
3591,2019,30.1,1130000.0,27.4,74550000.0,26.9,147200000.0,27.6,279630000.0
3591,2022,26.8,700000.0,25.9,103200000.0,24.8,168300000.0,25.8,361100000.0
3591,2024,27.2,2730000.0,25.9,175400000.0,25.5,172850000.0,25.9,436980000.0
8988,2010,25.8,50000.0,26.6,500000.0,25.3,1450000.0,26.3,2150000.0
8988,2012,26.9,50000.0,25.7,650000.0,25.5,925000.0,25.1,2080000.0
8988,2013,25.7,50000.0,24.7,400000.0,25.9,1300000.0,25.5,2200000.0
8988,2015,25.1,50000.0,23.4,300000.0,25.2,1180000.0,24.5,2280000.0
8988,2017,29.2,,24.3,750000.0,24.7,400000.0,25.4,2050000.0
8988,2019,24.8,,25.0,150000.0,24.6,1330000.0,25.0,1830000.0
8988,2022,24.2,175000.0,25.0,1350000.0,26.4,2150000.0,25.6,4950000.0
8988,2024,27.6,,26.2,425000.0,25.7,400000.0,26.3,1280000.0
3672,2010,31.5,1900000.0,28.9,12600000.0,27.3,15550000.0,28.5,40150000.0
3672,2012,30.7,1900000.0,25.7,15000000.0,26.2,14000000.0,26.5,41580000.0
3672,2013,29.7,2700000.0,25.9,14500000.0,24.3,13350000.0,25.9,40750000.0
3672,2015,27.6,3900000.0,27.4,14650000.0,25.5,38450000.0,26.6,71250000.0
3672,2017,31.5,3900000.0,26.8,13600000.0,24.7,40800000.0,26.5,74900000.0
3672,2019,30.5,4780000.0,27.5,14580000.0,27.6,139550000.0,27.8,170950000.0
3672,2022,28.6,5900000.0,27.4,17100000.0,25.7,132850000.0,27.2,180500000.0
3672,2024,31.3,6200000.0,28.0,13800000.0,27.4,111850000.0,27.9,148250000.0
5129,2010,26.8,100000.0,26.2,1400000.0,26.9,575000.0,26.4,7180000.0
5129,2012,30.6,100000.0,25.4,1450000.0,21.3,400000.0,25.3,6300000.0
5129,2013,28.2,,25.6,2150000.0,23.1,100000.0,25.8,3550000.0
5129,2015,26.8,100000.0,26.5,6880000.0,24.6,825000.0,26.6,8350000.0
5129,2017,32.0,,26.2,6350000.0,26.0,950000.0,27.8,7600000.0
5129,2019,27.7,,27.8,6780000.0,27.3,1330000.0,27.7,8430000.0
5129,2022,24.2,,27.0,11800000.0,27.5,1250000.0,27.1,13450000.0
5129,2024,23.1,225000.0,28.0,18930000.0,28.0,1100000.0,27.3,25200000.0
3434,2010,26.7,13250000.0,24.0,28300000.0,25.5,54650000.0,25.1,151600000.0
3434,2012,24.6,3930000.0,23.4,38000000.0,23.2,51430000.0,23.8,147950000.0
3434,2013,25.0,5600000.0,25.2,71530000.0,24.5,51050000.0,25.2,176380000.0
3434,2015,22.9,2600000.0,23.6,48550000.0,23.7,26200000.0,23.9,93600000.0
