group,date,home_team,away_team,tournament,home_abrv,away_abrv,year,month,day,home_rank,away_rank,home_cup_win_record,away_cup_win_record,is_home_hosting,is_away_hosting,hosted_country,home_avg_temp_host,home_avg_humidity_host,home_id,away_id,home_goalkeeper_avg_age,home_goalkeeper_market_value,home_defender_avg_age,home_defender_market_value,home_attack_avg_age,home_attack_market_value,home_total_avg_age,home_total_market_value,away_goalkeeper_avg_age,away_goalkeeper_market_value,away_defender_avg_age,away_defender_market_value,away_attack_avg_age,away_attack_market_value,away_total_avg_age,away_total_market_value,predicted_home,predicted_result
A,2025-12-21,Morocco,Comoros,AFCON,MAR,COM,2025,12,21,11,108,1,0,1,0,MAR,17.139285714285712,76.96428571428571,3575,16430,32.2,4950000.0,29.2,151500000.0,25.5,146000000.0,27.4,416450000.0,27.7,625000.0,26.8,5050000.0,27.4,5150000.0,27.0,18850000.0,1,1
A,2025-12-22,Mali,Zambia,AFCON,MLI,ZAM,2025,12,22,54,90,0,1,0,0,MAR,17.139285714285712,76.96428571428571,3674,3703,32.6,850000.0,26.5,23100000.0,23.1,44900000.0,26.2,143350000.0,26.5,250000.0,27.5,1380000.0,24.3,14750000.0,25.6,21530000.0,1,1
A,2025-12-26,Morocco,Mali,AFCON,MAR,MLI,2025,12,26,11,54,1,0,1,0,MAR,17.139285714285712,76.96428571428571,3575,3674,32.2,4950000.0,29.2,151500000.0,25.5,146000000.0,27.4,416450000.0,32.6,850000.0,26.5,23100000.0,23.1,44900000.0,26.2,143350000.0,1,1
A,2025-12-26,Zambia,Comoros,AFCON,ZAM,COM,2025,12,26,90,108,1,0,0,0,MAR,17.139285714285712,76.96428571428571,3703,16430,26.5,250000.0,27.5,1380000.0,24.3,14750000.0,25.6,21530000.0,27.7,625000.0,26.8,5050000.0,27.4,5150000.0,27.0,18850000.0,0,1
A,2025-12-29,Morocco,Zambia,AFCON,MAR,ZAM,2025,12,29,11,90,1,1,1,0,MAR,17.139285714285712,76.96428571428571,3575,3703,32.2,4950000.0,29.2,151500000.0,25.5,146000000.0,27.4,416450000.0,26.5,250000.0,27.5,1380000.0,24.3,14750000.0,25.6,21530000.0,1,1
A,2025-12-29,Comoros,Mali,AFCON,COM,MLI,2025,12,29,108,54,0,0,0,0,MAR,17.139285714285712,76.96428571428571,16430,3674,27.7,625000.0,26.8,5050000.0,27.4,5150000.0,27.0,18850000.0,32.6,850000.0,26.5,23100000.0,23.1,44900000.0,26.2,143350000.0,0,-1
B,2025-12-22,Egypt,Zimbabwe,AFCON,EGY,ZIM,2025,12,22,34,129,7,0,0,0,MAR,17.139285714285712,76.96428571428571,3672,3583,31.0,2600000.0,29.0,7300000.0,28.7,113300000.0,28.9,136400000.0,34.6,75000.0,28.1,4830000.0,26.0,2530000.0,27.9,10100000.0,1,1
B,2025-12-22,South Africa,Angola,AFCON,RSA,ANG,2025,12,22,61,89,1,0,0,0,MAR,17.139285714285712,76.96428571428571,3806,3585,31.6,2650000.0,25.8,13500000.0,24.4,21100000.0,26.2,44450000.0,34.5,400000.0,28.9,22300000.0,28.2,22900000.0,28.8,55230000.0,0,1
B,2025-12-26,Egypt,South Africa,AFCON,EGY,RSA,2025,12,26,34,61,7,1,0,0,MAR,17.139285714285712,76.96428571428571,3672,3806,31.0,2600000.0,29.0,7300000.0,28.7,113300000.0,28.9,136400000.0,31.6,2650000.0,25.8,13500000.0,24.4,21100000.0,26.2,44450000.0,1,1
B,2025-12-26,Angola,Zimbabwe,AFCON,ANG,ZIM,2025,12,26,89,129,0,0,0,0,MAR,17.139285714285712,76.96428571428571,3585,3583,34.5,400000.0,28.9,22300000.0,28.2,22900000.0,28.8,55230000.0,34.6,75000.0,28.1,4830000.0,26.0,2530000.0,27.9,10100000.0,1,1
